# Altitude(AMSL),Pressure(hpa),Temp(C),RH,WindSpeed(m/s),WindDirection(degTN),Uwind(m/s),Vwind(m/s)
17123.79,92.14,-54.74, 1.57,11.04,-68.33,-10.26, 4.08
17128.43,92.07,-54.68, 1.57,10.91,-67.89,-10.11, 4.11
17133.22,92.01,-54.62, 1.57,10.77,-67.46,-9.95, 4.13
17138.05,91.94,-54.56, 1.57,10.64,-67.06,-9.80, 4.15
17142.69,91.87,-54.51, 1.57,10.50,-66.68,-9.64, 4.16
17147.21,91.81,-54.46, 1.56,10.37,-66.33,-9.49, 4.16
17151.75,91.74,-54.43, 1.56,10.23,-65.99,-9.35, 4.16
17156.20,91.68,-54.42, 1.56,10.10,-65.69,-9.20, 4.16
17160.52,91.62,-54.42, 1.56, 9.96,-65.40,-9.06, 4.15
17164.95,91.55,-54.44, 1.56, 9.83,-65.14,-8.92, 4.13
17169.57,91.49,-54.45, 1.55, 9.70,-64.91,-8.78, 4.11
17174.16,91.42,-54.47, 1.55, 9.57,-64.69,-8.65, 4.09
17178.61,91.36,-54.50, 1.55, 9.44,-64.50,-8.52, 4.06
17183.02,91.30,-54.52, 1.55, 9.31,-64.33,-8.39, 4.03
17187.31,91.24,-54.53, 1.55, 9.18,-64.19,-8.26, 4.00
17191.42,91.18,-54.55, 1.55, 9.05,-64.06,-8.14, 3.96
17195.51,91.12,-54.57, 1.55, 8.92,-63.95,-8.02, 3.92
17199.65,91.06,-54.59, 1.55, 8.80,-63.86,-7.90, 3.88
17203.81,91.00,-54.61, 1.56, 8.68,-63.79,-7.79, 3.83
17208.09,90.94,-54.62, 1.56, 8.56,-63.74,-7.67, 3.79
17212.28,90.88,-54.62, 1.56, 8.44,-63.71,-7.56, 3.74
17216.19,90.83,-54.62, 1.56, 8.32,-63.70,-7.46, 3.69
17220.19,90.77,-54.62, 1.57, 8.20,-63.71,-7.35, 3.63
17224.52,90.71,-54.62, 1.57, 8.09,-63.73,-7.25, 3.58
17229.09,90.64,-54.64, 1.57, 7.98,-63.78,-7.16, 3.53
17233.62,90.58,-54.66, 1.57, 7.87,-63.84,-7.06, 3.47
17237.89,90.52,-54.69, 1.58, 7.76,-63.93,-6.97, 3.41
17241.87,90.46,-54.72, 1.58, 7.66,-64.03,-6.89, 3.35
17245.96,90.41,-54.75, 1.59, 7.56,-64.16,-6.81, 3.30
17250.33,90.34,-54.77, 1.59, 7.46,-64.31,-6.73, 3.24
17254.99,90.28,-54.79, 1.59, 7.37,-64.49,-6.65, 3.17
17259.58,90.22,-54.81, 1.60, 7.28,-64.68,-6.58, 3.11
17263.95,90.16,-54.82, 1.60, 7.19,-64.90,-6.51, 3.05
17268.05,90.10,-54.83, 1.60, 7.10,-65.15,-6.45, 2.99
17272.00,90.04,-54.84, 1.60, 7.02,-65.42,-6.39, 2.92
17276.29,89.98,-54.85, 1.61, 6.94,-65.72,-6.33, 2.85
17281.01,89.91,-54.85, 1.61, 6.86,-66.04,-6.27, 2.79
17285.93,89.85,-54.87, 1.61, 6.79,-66.39,-6.22, 2.72
17290.83,89.78,-54.89, 1.62, 6.72,-66.77,-6.17, 2.65
17295.46,89.71,-54.93, 1.62, 6.65,-67.17,-6.13, 2.58
17299.75,89.65,-54.97, 1.62, 6.58,-67.60,-6.09, 2.51
17303.87,89.60,-55.00, 1.62, 6.52,-68.06,-6.05, 2.43
17307.78,89.54,-55.03, 1.63, 6.45,-68.55,-6.01, 2.36
17311.74,89.48,-55.03, 1.63, 6.39,-69.07,-5.97, 2.28
17316.09,89.42,-55.03, 1.63, 6.34,-69.61,-5.94, 2.21
17320.76,89.36,-55.02, 1.64, 6.28,-70.17,-5.91, 2.13
17325.32,89.30,-55.02, 1.64, 6.23,-70.77,-5.88, 2.05
17329.83,89.23,-55.04, 1.64, 6.17,-71.39,-5.85, 1.97
17334.49,89.17,-55.06, 1.65, 6.12,-72.03,-5.83, 1.89
17339.29,89.10,-55.09, 1.65, 6.08,-72.69,-5.80, 1.81
17344.13,89.03,-55.12, 1.65, 6.03,-73.38,-5.78, 1.73
17349.12,88.97,-55.15, 1.66, 5.99,-74.09,-5.76, 1.64
17354.01,88.90,-55.19, 1.66, 5.96,-74.82,-5.75, 1.56
17358.73,88.83,-55.22, 1.66, 5.92,-75.57,-5.74, 1.48
17363.54,88.77,-55.25, 1.67, 5.89,-76.33,-5.73, 1.39
17368.38,88.70,-55.29, 1.67, 5.87,-77.10,-5.72, 1.31
17372.92,88.64,-55.33, 1.67, 5.85,-77.88,-5.72, 1.23
17377.18,88.58,-55.36, 1.68, 5.83,-78.66,-5.72, 1.15
17381.45,88.52,-55.39, 1.68, 5.82,-79.45,-5.72, 1.07
17385.71,88.46,-55.42, 1.68, 5.81,-80.24,-5.73, 0.99
17389.92,88.40,-55.45, 1.69, 5.81,-81.02,-5.74, 0.91
17394.42,88.34,-55.48, 1.69, 5.82,-81.79,-5.76, 0.83
17399.40,88.27,-55.51, 1.69, 5.83,-82.55,-5.78, 0.76
17404.27,88.20,-55.54, 1.70, 5.84,-83.29,-5.80, 0.68
17408.67,88.14,-55.58, 1.70, 5.87,-84.02,-5.84, 0.61
17412.91,88.08,-55.61, 1.70, 5.90,-84.72,-5.87, 0.54
17417.04,88.03,-55.64, 1.71, 5.93,-85.40,-5.91, 0.48
17421.32,87.97,-55.67, 1.71, 5.98,-86.05,-5.96, 0.41
17425.94,87.90,-55.70, 1.71, 6.03,-86.68,-6.02, 0.35
17430.66,87.84,-55.73, 1.71, 6.08,-87.27,-6.07, 0.29
17434.99,87.78,-55.76, 1.72, 6.14,-87.84,-6.14, 0.23
17439.20,87.72,-55.78, 1.72, 6.21,-88.37,-6.21, 0.18
17443.63,87.66,-55.80, 1.72, 6.29,-88.87,-6.29, 0.12
17448.30,87.60,-55.82, 1.72, 6.37,-89.35,-6.37, 0.07
17452.96,87.53,-55.84, 1.72, 6.46,-89.79,-6.46, 0.02
17457.70,87.47,-55.86, 1.73, 6.55,269.79,-6.55,-0.02
17462.45,87.40,-55.88, 1.73, 6.65,269.40,-6.65,-0.07
17467.30,87.34,-55.91, 1.73, 6.75,269.03,-6.75,-0.11
17472.20,87.27,-55.93, 1.73, 6.86,268.68,-6.86,-0.16
17476.78,87.21,-55.95, 1.73, 6.97,268.35,-6.97,-0.20
17481.12,87.15,-55.97, 1.73, 7.09,268.04,-7.08,-0.24
17485.36,87.09,-55.99, 1.72, 7.21,267.73,-7.20,-0.28
17489.64,87.03,-56.00, 1.72, 7.33,267.44,-7.32,-0.33
17494.06,86.97,-56.01, 1.72, 7.46,267.16,-7.45,-0.37
17498.47,86.91,-56.01, 1.72, 7.58,266.88,-7.57,-0.41
17502.96,86.85,-56.02, 1.72, 7.71,266.60,-7.70,-0.46
17507.72,86.79,-56.03, 1.71, 7.85,266.32,-7.83,-0.50
17512.27,86.73,-56.05, 1.71, 7.98,266.04,-7.96,-0.55
17516.43,86.67,-56.07, 1.71, 8.11,265.75,-8.09,-0.60
17520.60,86.61,-56.10, 1.70, 8.24,265.46,-8.21,-0.65
17524.98,86.55,-56.12, 1.70, 8.37,265.15,-8.34,-0.71
17529.59,86.49,-56.14, 1.69, 8.50,264.83,-8.46,-0.77
17534.15,86.43,-56.14, 1.69, 8.62,264.50,-8.58,-0.83
17538.50,86.37,-56.15, 1.68, 8.75,264.16,-8.70,-0.89
17542.83,86.31,-56.14, 1.68, 8.87,263.80,-8.82,-0.96
17547.36,86.25,-56.13, 1.68, 8.99,263.42,-8.93,-1.03
17551.95,86.19,-56.11, 1.67, 9.11,263.03,-9.04,-1.11
17556.64,86.12,-56.08, 1.67, 9.22,262.62,-9.14,-1.18
17561.20,86.06,-56.04, 1.66, 9.33,262.19,-9.24,-1.27
17565.74,86.00,-56.00, 1.66, 9.44,261.75,-9.34,-1.35
17570.54,85.94,-55.96, 1.66, 9.54,261.30,-9.43,-1.44
17575.51,85.87,-55.93, 1.66, 9.64,260.83,-9.52,-1.54
17580.36,85.80,-55.91, 1.66, 9.74,260.35,-9.60,-1.63
17585.07,85.74,-55.89, 1.65, 9.84,259.86,-9.68,-1.73
17589.72,85.68,-55.88, 1.65, 9.93,259.37,-9.76,-1.83
17594.33,85.62,-55.87, 1.65,10.02,258.87,-9.84,-1.94
17598.83,85.56,-55.87, 1.65,10.12,258.36,-9.91,-2.04
17603.12,85.50,-55.86, 1.65,10.21,257.86,-9.98,-2.15
17607.34,85.44,-55.86, 1.65,10.30,257.37,-10.05,-2.25
17611.40,85.39,-55.86, 1.65,10.39,256.88,-10.12,-2.36
17615.46,85.33,-55.87, 1.65,10.48,256.41,-10.18,-2.46
17619.75,85.28,-55.89, 1.65,10.57,255.96,-10.25,-2.56
17624.32,85.22,-55.91, 1.65,10.66,255.53,-10.32,-2.66
17628.94,85.15,-55.93, 1.66,10.75,255.12,-10.38,-2.76
17633.51,85.09,-55.94, 1.66,10.83,254.74,-10.45,-2.85
17637.82,85.04,-55.94, 1.66,10.92,254.40,-10.52,-2.94
17641.98,84.98,-55.94, 1.66,11.01,254.09,-10.59,-3.02
17646.35,84.92,-55.94, 1.66,11.09,253.83,-10.66,-3.09
17650.95,84.86,-55.94, 1.66,11.18,253.60,-10.72,-3.16
17655.79,84.80,-55.93, 1.66,11.26,253.42,-10.79,-3.21
17660.78,84.73,-55.94, 1.66,11.34,253.29,-10.86,-3.26
17665.66,84.67,-55.94, 1.66,11.41,253.21,-10.92,-3.30
17670.13,84.61,-55.95, 1.66,11.48,253.18,-10.99,-3.32
17674.26,84.55,-55.96, 1.66,11.54,253.21,-11.05,-3.33
17678.26,84.50,-55.99, 1.66,11.60,253.29,-11.11,-3.34
17682.19,84.45,-56.01, 1.66,11.65,253.42,-11.17,-3.32
17686.07,84.40,-56.03, 1.66,11.70,253.61,-11.22,-3.30
17690.23,84.34,-56.05, 1.65,11.73,253.86,-11.27,-3.26
17694.59,84.28,-56.07, 1.65,11.76,254.15,-11.31,-3.21
17698.87,84.23,-56.08, 1.65,11.78,254.51,-11.35,-3.15
17702.88,84.17,-56.09, 1.64,11.79,254.92,-11.38,-3.07
17706.84,84.12,-56.09, 1.64,11.79,255.38,-11.41,-2.98
17710.94,84.07,-56.09, 1.63,11.78,255.89,-11.43,-2.87
17715.24,84.01,-56.07, 1.62,11.77,256.46,-11.44,-2.76
17719.71,83.95,-56.05, 1.62,11.74,257.07,-11.44,-2.63
17724.25,83.89,-56.01, 1.61,11.71,257.74,-11.44,-2.49
17728.76,83.83,-55.96, 1.60,11.66,258.45,-11.43,-2.33
17733.33,83.77,-55.90, 1.59,11.61,259.21,-11.41,-2.17
17738.23,83.71,-55.85, 1.59,11.55,260.01,-11.38,-2.00
17743.55,83.64,-55.79, 1.58,11.49,260.85,-11.34,-1.83
17748.83,83.57,-55.74, 1.57,11.42,261.73,-11.30,-1.64
17753.46,83.51,-55.68, 1.56,11.34,262.65,-11.25,-1.45
17757.58,83.46,-55.62, 1.55,11.26,263.59,-11.19,-1.26
17761.49,83.41,-55.55, 1.55,11.17,264.57,-11.12,-1.06
17765.44,83.35,-55.48, 1.54,11.09,265.57,-11.05,-0.86
17769.78,83.30,-55.41, 1.53,10.99,266.60,-10.97,-0.65
17774.44,83.24,-55.35, 1.52,10.90,267.64,-10.89,-0.45
17779.01,83.18,-55.28, 1.52,10.80,268.70,-10.80,-0.24
17783.35,83.12,-55.22, 1.51,10.70,269.78,-10.70,-0.04
17787.77,83.06,-55.16, 1.51,10.60,-89.14,-10.60, 0.16
17792.55,83.00,-55.12, 1.50,10.50,-88.06,-10.49, 0.36
17797.68,82.94,-55.07, 1.50,10.40,-86.97,-10.38, 0.55
17802.84,82.87,-55.04, 1.49,10.30,-85.89,-10.27, 0.74
17807.79,82.81,-54.99, 1.49,10.19,-84.81,-10.15, 0.92
17812.29,82.75,-54.94, 1.49,10.09,-83.74,-10.03, 1.10
17816.47,82.69,-54.88, 1.49, 9.99,-82.68,-9.91, 1.27
17820.73,82.64,-54.82, 1.49, 9.88,-81.64,-9.78, 1.44
17825.30,82.58,-54.76, 1.48, 9.78,-80.61,-9.65, 1.60
17829.86,82.52,-54.72, 1.49, 9.68,-79.60,-9.52, 1.75
17834.20,82.47,-54.68, 1.49, 9.57,-78.60,-9.38, 1.89
17838.50,82.41,-54.65, 1.49, 9.47,-77.63,-9.25, 2.03
17842.94,82.35,-54.62, 1.49, 9.36,-76.68,-9.11, 2.16
17847.48,82.29,-54.59, 1.49, 9.25,-75.75,-8.97, 2.28
17852.17,82.24,-54.56, 1.49, 9.15,-74.84,-8.83, 2.39
17856.86,82.18,-54.52, 1.50, 9.04,-73.96,-8.68, 2.50
17861.33,82.12,-54.49, 1.50, 8.93,-73.10,-8.54, 2.60
17865.72,82.06,-54.46, 1.50, 8.81,-72.26,-8.39, 2.68
17870.24,82.00,-54.44, 1.51, 8.70,-71.45,-8.25, 2.77
17874.75,81.95,-54.44, 1.51, 8.58,-70.67,-8.10, 2.84
17879.22,81.89,-54.44, 1.52, 8.46,-69.92,-7.95, 2.91
17883.37,81.84,-54.44, 1.52, 8.34,-69.19,-7.80, 2.96
17887.25,81.79,-54.45, 1.53, 8.22,-68.49,-7.65, 3.01
17891.28,81.74,-54.45, 1.53, 8.10,-67.82,-7.50, 3.06
17895.53,81.68,-54.46, 1.54, 7.97,-67.19,-7.35, 3.09
17899.78,81.63,-54.46, 1.54, 7.84,-66.58,-7.19, 3.12
17904.13,81.57,-54.47, 1.55, 7.71,-66.01,-7.04, 3.13
17908.47,81.52,-54.48, 1.55, 7.57,-65.47,-6.89, 3.14
17912.71,81.47,-54.50, 1.56, 7.44,-64.97,-6.74, 3.15
17916.93,81.41,-54.52, 1.56, 7.30,-64.51,-6.59, 3.14
17921.34,81.36,-54.54, 1.57, 7.16,-64.09,-6.44, 3.13
17925.83,81.30,-54.56, 1.57, 7.02,-63.71,-6.29, 3.11
17930.25,81.24,-54.59, 1.58, 6.87,-63.38,-6.14, 3.08
17934.90,81.18,-54.61, 1.58, 6.73,-63.09,-6.00, 3.04
17939.95,81.12,-54.63, 1.59, 6.58,-62.85,-5.85, 3.00
17945.21,81.06,-54.65, 1.59, 6.43,-62.66,-5.71, 2.95
17950.28,80.99,-54.67, 1.60, 6.28,-62.53,-5.57, 2.90
17954.98,80.93,-54.68, 1.60, 6.13,-62.45,-5.44, 2.84
17959.09,80.88,-54.69, 1.61, 5.98,-62.44,-5.30, 2.77
17963.15,80.83,-54.70, 1.61, 5.83,-62.49,-5.17, 2.69
17967.32,80.78,-54.71, 1.61, 5.68,-62.60,-5.05, 2.61
17971.58,80.72,-54.72, 1.62, 5.53,-62.79,-4.92, 2.53
17975.86,80.67,-54.73, 1.62, 5.39,-63.05,-4.80, 2.44
17980.36,80.61,-54.75, 1.62, 5.24,-63.39,-4.69, 2.35
17985.22,80.55,-54.75, 1.63, 5.10,-63.82,-4.58, 2.25
17990.31,80.49,-54.75, 1.63, 4.96,-64.33,-4.47, 2.15
17995.12,80.43,-54.73, 1.63, 4.83,-64.93,-4.37, 2.04
17999.52,80.37,-54.70, 1.63, 4.69,-65.63,-4.28, 1.94
18003.70,80.32,-54.69, 1.63, 4.57,-66.43,-4.18, 1.83
18007.87,80.27,-54.69, 1.64, 4.44,-67.33,-4.10, 1.71
18012.15,80.21,-54.70, 1.64, 4.32,-68.35,-4.02, 1.59
18016.48,80.16,-54.73, 1.64, 4.21,-69.47,-3.94, 1.48
18020.75,80.11,-54.75, 1.64, 4.10,-70.70,-3.87, 1.36
18025.12,80.05,-54.77, 1.64, 4.00,-72.04,-3.81, 1.23
18029.53,80.00,-54.78, 1.65, 3.91,-73.49,-3.75, 1.11
18033.72,79.95,-54.79, 1.65, 3.82,-75.04,-3.69, 0.99
18037.84,79.89,-54.80, 1.65, 3.74,-76.69,-3.64, 0.86
18042.01,79.84,-54.82, 1.65, 3.67,-78.43,-3.60, 0.74
18046.09,79.79,-54.84, 1.65, 3.61,-80.26,-3.56, 0.61
18050.21,79.74,-54.86, 1.66, 3.56,-82.15,-3.52, 0.49
18054.73,79.68,-54.89, 1.66, 3.51,-84.09,-3.49, 0.36
18059.24,79.63,-54.92, 1.66, 3.48,-86.08,-3.47, 0.24
18063.50,79.58,-54.95, 1.66, 3.45,-88.08,-3.45, 0.12
18067.67,79.52,-54.98, 1.66, 3.43,269.92,-3.43,-0.00
18072.00,79.47,-55.00, 1.66, 3.42,267.95,-3.42,-0.12
18076.28,79.42,-55.03, 1.66, 3.42,266.02,-3.42,-0.24
18080.74,79.36,-55.05, 1.66, 3.43,264.14,-3.41,-0.35
18085.34,79.30,-55.08, 1.66, 3.45,262.35,-3.42,-0.46
18090.10,79.25,-55.10, 1.66, 3.47,260.64,-3.42,-0.56
18095.03,79.19,-55.12, 1.66, 3.50,259.04,-3.43,-0.66
18099.82,79.13,-55.15, 1.65, 3.53,257.56,-3.45,-0.76
18103.98,79.08,-55.17, 1.65, 3.57,256.19,-3.46,-0.85
18108.13,79.02,-55.20, 1.65, 3.61,254.96,-3.49,-0.94
18112.36,78.97,-55.23, 1.64, 3.66,253.85,-3.51,-1.02
18116.61,78.92,-55.26, 1.64, 3.70,252.87,-3.54,-1.09
18120.86,78.87,-55.29, 1.63, 3.76,252.02,-3.57,-1.16
18125.21,78.81,-55.30, 1.63, 3.81,251.29,-3.61,-1.22
18129.55,78.76,-55.27, 1.63, 3.86,250.68,-3.65,-1.28
18134.01,78.70,-55.25, 1.62, 3.92,250.19,-3.69,-1.33
18138.74,78.65,-55.21, 1.62, 3.97,249.81,-3.73,-1.37
18143.31,78.59,-55.17, 1.61, 4.03,249.53,-3.78,-1.41
18147.41,78.54,-55.12, 1.60, 4.08,249.35,-3.82,-1.44
18151.42,78.49,-55.07, 1.60, 4.14,249.26,-3.87,-1.47
18155.50,78.44,-55.02, 1.59, 4.19,249.25,-3.92,-1.49
18159.55,78.39,-54.97, 1.59, 4.25,249.32,-3.97,-1.50
18163.64,78.34,-54.93, 1.58, 4.30,249.45,-4.03,-1.51
18167.92,78.29,-54.90, 1.58, 4.35,249.65,-4.08,-1.51
18172.19,78.24,-54.88, 1.57, 4.40,249.89,-4.13,-1.51
18176.28,78.19,-54.87, 1.57, 4.45,250.18,-4.19,-1.51
18180.32,78.14,-54.87, 1.56, 4.50,250.50,-4.24,-1.50
18184.53,78.09,-54.87, 1.56, 4.55,250.86,-4.30,-1.49
18188.92,78.03,-54.88, 1.56, 4.60,251.23,-4.35,-1.48
18193.40,77.98,-54.89, 1.55, 4.64,251.63,-4.41,-1.46
18197.88,77.93,-54.90, 1.55, 4.69,252.03,-4.46,-1.45
18202.21,77.87,-54.93, 1.55, 4.73,252.44,-4.51,-1.43
18206.41,77.82,-54.95, 1.55, 4.78,252.85,-4.57,-1.41
18210.72,77.77,-54.97, 1.54, 4.82,253.25,-4.62,-1.39
18215.07,77.72,-55.00, 1.54, 4.87,253.64,-4.67,-1.37
18219.40,77.66,-55.01, 1.54, 4.91,254.01,-4.72,-1.35
18223.81,77.61,-55.02, 1.54, 4.95,254.36,-4.77,-1.34
18228.20,77.56,-55.02, 1.54, 5.00,254.69,-4.82,-1.32
18232.30,77.51,-55.01, 1.54, 5.04,254.99,-4.87,-1.31
18236.29,77.46,-55.00, 1.54, 5.08,255.25,-4.92,-1.29
18240.50,77.41,-55.00, 1.53, 5.13,255.49,-4.96,-1.28
18244.89,77.36,-55.00, 1.53, 5.17,255.69,-5.01,-1.28
18249.36,77.30,-55.00, 1.53, 5.21,255.86,-5.05,-1.27
18253.87,77.25,-54.98, 1.53, 5.25,256.00,-5.09,-1.27
18258.33,77.20,-54.94, 1.53, 5.29,256.10,-5.13,-1.27
18262.76,77.14,-54.91, 1.53, 5.33,256.18,-5.17,-1.27
18267.30,77.09,-54.88, 1.53, 5.36,256.22,-5.21,-1.28
18271.83,77.03,-54.86, 1.52, 5.40,256.24,-5.24,-1.28
18276.25,76.98,-54.84, 1.52, 5.43,256.23,-5.27,-1.29
18280.75,76.93,-54.82, 1.52, 5.45,256.20,-5.30,-1.30
18285.44,76.87,-54.83, 1.52, 5.48,256.16,-5.32,-1.31
18290.08,76.82,-54.84, 1.52, 5.50,256.11,-5.34,-1.32
18294.50,76.76,-54.87, 1.51, 5.52,256.06,-5.35,-1.33
18298.99,76.71,-54.89, 1.51, 5.53,256.00,-5.36,-1.34
18303.58,76.65,-54.91, 1.51, 5.53,255.96,-5.37,-1.34
18308.11,76.60,-54.92, 1.51, 5.53,255.93,-5.37,-1.35
18312.50,76.55,-54.92, 1.50, 5.53,255.92,-5.36,-1.35
18316.83,76.50,-54.91, 1.50, 5.52,255.94,-5.35,-1.34
18321.19,76.44,-54.89, 1.50, 5.50,255.99,-5.33,-1.33
18325.65,76.39,-54.87, 1.50, 5.47,256.09,-5.31,-1.32
18329.99,76.34,-54.86, 1.49, 5.44,256.24,-5.28,-1.29
18334.31,76.29,-54.85, 1.49, 5.40,256.44,-5.25,-1.26
18338.92,76.23,-54.84, 1.49, 5.35,256.72,-5.21,-1.23
18343.89,76.17,-54.84, 1.49, 5.30,257.06,-5.16,-1.19
18349.10,76.11,-54.83, 1.49, 5.23,257.48,-5.11,-1.13
18354.20,76.05,-54.82, 1.49, 5.17,257.99,-5.05,-1.08
18358.65,76.00,-54.81, 1.49, 5.09,258.59,-4.99,-1.01
18362.46,75.95,-54.80, 1.48, 5.02,259.28,-4.93,-0.93
18366.19,75.91,-54.80, 1.48, 4.93,260.08,-4.86,-0.85
18370.61,75.86,-54.80, 1.48, 4.85,260.99,-4.79,-0.76
18375.63,75.80,-54.79, 1.48, 4.76,262.00,-4.71,-0.66
18381.07,75.73,-54.77, 1.48, 4.66,263.13,-4.63,-0.56
18386.48,75.67,-54.73, 1.48, 4.57,264.36,-4.55,-0.45
18391.49,75.61,-54.67, 1.48, 4.47,265.70,-4.46,-0.34
18396.37,75.55,-54.61, 1.48, 4.38,267.14,-4.37,-0.22
18401.35,75.49,-54.57, 1.48, 4.29,268.67,-4.29,-0.10
18406.46,75.44,-54.55, 1.48, 4.20,-89.71,-4.20, 0.02
18411.45,75.38,-54.54, 1.47, 4.11,-88.03,-4.10, 0.14
18416.24,75.32,-54.55, 1.47, 4.02,-86.29,-4.01, 0.26
18420.47,75.27,-54.58, 1.47, 3.94,-84.52,-3.92, 0.38
18424.85,75.22,-54.61, 1.47, 3.86,-82.72,-3.82, 0.49
18429.53,75.16,-54.65, 1.47, 3.78,-80.92,-3.73, 0.60
18434.34,75.11,-54.69, 1.47, 3.70,-79.14,-3.64, 0.70
18439.24,75.05,-54.72, 1.47, 3.63,-77.41,-3.54, 0.79
18444.03,75.00,-54.75, 1.46, 3.56,-75.73,-3.45, 0.88
18448.37,74.95,-54.77, 1.46, 3.49,-74.12,-3.35, 0.95
18452.61,74.89,-54.80, 1.46, 3.41,-72.61,-3.26, 1.02
18457.13,74.84,-54.82, 1.46, 3.34,-71.21,-3.16, 1.08
18462.08,74.78,-54.84, 1.45, 3.27,-69.93,-3.07, 1.12
18467.32,74.72,-54.84, 1.45, 3.19,-68.79,-2.98, 1.16
18472.54,74.66,-54.83, 1.45, 3.12,-67.79,-2.89, 1.18
18477.66,74.61,-54.81, 1.44, 3.04,-66.96,-2.79, 1.19
18482.49,74.55,-54.77, 1.44, 2.95,-66.28,-2.70, 1.19
18486.76,74.50,-54.72, 1.44, 2.86,-65.79,-2.61, 1.17
18490.81,74.45,-54.66, 1.43, 2.77,-65.48,-2.52, 1.15
18495.21,74.40,-54.60, 1.43, 2.68,-65.38,-2.43, 1.12
18499.78,74.35,-54.53, 1.42, 2.58,-65.49,-2.35, 1.07
18504.25,74.30,-54.46, 1.42, 2.48,-65.83,-2.26, 1.01
18508.77,74.24,-54.39, 1.42, 2.38,-66.42,-2.18, 0.95
18513.44,74.19,-54.31, 1.41, 2.27,-67.30,-2.10, 0.88
18518.21,74.14,-54.23, 1.41, 2.17,-68.47,-2.02, 0.80
18522.97,74.08,-54.17, 1.41, 2.06,-69.99,-1.94, 0.71
18527.56,74.03,-54.11, 1.41, 1.96,-71.88,-1.86, 0.61
18531.96,73.98,-54.08, 1.41, 1.86,-74.18,-1.79, 0.51
18536.34,73.93,-54.07, 1.41, 1.77,-76.93,-1.73, 0.40
18540.83,73.87,-54.07, 1.41, 1.69,-80.16,-1.66, 0.29
18545.48,73.82,-54.08, 1.41, 1.61,-83.87,-1.61, 0.17
18550.23,73.77,-54.10, 1.41, 1.55,-88.05,-1.55, 0.05
18554.77,73.72,-54.12, 1.41, 1.51,267.35,-1.50,-0.07
18559.21,73.66,-54.14, 1.41, 1.48,262.42,-1.46,-0.19
18563.90,73.61,-54.17, 1.42, 1.46,257.30,-1.43,-0.32
18568.89,73.55,-54.21, 1.42, 1.47,252.17,-1.40,-0.45
18573.85,73.50,-54.25, 1.42, 1.49,247.20,-1.38,-0.58
18578.73,73.44,-54.29, 1.43, 1.54,242.54,-1.36,-0.71
18583.55,73.39,-54.32, 1.43, 1.60,238.30,-1.36,-0.84
18588.22,73.33,-54.35, 1.44, 1.67,234.56,-1.36,-0.97
18592.88,73.28,-54.37, 1.44, 1.76,231.35,-1.37,-1.10
18597.50,73.23,-54.38, 1.44, 1.86,228.64,-1.39,-1.23
18601.95,73.18,-54.40, 1.45, 1.96,226.42,-1.42,-1.35
18606.39,73.13,-54.42, 1.45, 2.08,224.64,-1.46,-1.48
18610.97,73.07,-54.44, 1.46, 2.20,223.26,-1.51,-1.60
18615.62,73.02,-54.46, 1.46, 2.33,222.24,-1.56,-1.72
18620.51,72.97,-54.48, 1.46, 2.46,221.51,-1.63,-1.84
18625.41,72.91,-54.49, 1.46, 2.59,221.05,-1.70,-1.95
18630.21,72.86,-54.50, 1.47, 2.72,220.82,-1.78,-2.06
18635.00,72.80,-54.50, 1.47, 2.86,220.79,-1.87,-2.17
18639.78,72.75,-54.49, 1.47, 3.00,220.92,-1.97,-2.27
18644.23,72.70,-54.46, 1.47, 3.14,221.20,-2.07,-2.36
18648.46,72.65,-54.44, 1.47, 3.28,221.60,-2.18,-2.45
18652.93,72.60,-54.41, 1.46, 3.42,222.11,-2.30,-2.54
18657.79,72.54,-54.39, 1.46, 3.56,222.70,-2.42,-2.62
18662.93,72.49,-54.38, 1.46, 3.70,223.37,-2.54,-2.69
18668.02,72.43,-54.38, 1.46, 3.84,224.10,-2.67,-2.76
18672.86,72.38,-54.37, 1.46, 3.98,224.89,-2.81,-2.82
18677.47,72.32,-54.37, 1.45, 4.11,225.71,-2.95,-2.87
18682.05,72.27,-54.36, 1.45, 4.25,226.57,-3.09,-2.92
18686.61,72.22,-54.35, 1.45, 4.38,227.46,-3.23,-2.96
18691.04,72.17,-54.34, 1.44, 4.51,228.37,-3.37,-3.00
18695.57,72.12,-54.33, 1.44, 4.64,229.29,-3.52,-3.02
18700.29,72.07,-54.32, 1.44, 4.76,230.22,-3.66,-3.05
18704.98,72.01,-54.30, 1.43, 4.89,231.15,-3.81,-3.07
18709.86,71.96,-54.28, 1.43, 5.01,232.08,-3.95,-3.08
18714.83,71.91,-54.25, 1.43, 5.13,233.01,-4.09,-3.08
18719.41,71.86,-54.22, 1.43, 5.24,233.94,-4.24,-3.09
18723.76,71.81,-54.19, 1.42, 5.36,234.85,-4.38,-3.08
18728.17,71.76,-54.17, 1.42, 5.47,235.75,-4.52,-3.08
18732.64,71.71,-54.15, 1.42, 5.58,236.64,-4.66,-3.07
18737.09,71.66,-54.13, 1.41, 5.69,237.51,-4.80,-3.05
18741.67,71.61,-54.13, 1.41, 5.79,238.36,-4.93,-3.04
18746.43,71.55,-54.12, 1.41, 5.89,239.20,-5.06,-3.02
18751.37,71.50,-54.12, 1.41, 5.99,240.02,-5.19,-2.99
